,oem,version,segment,size,mass_in_running_order(kg),distance_between_axles,area(m²),conpet_novo,fuel_type,engine_type,direct_injection,displacement(cm³),power(cv),transmission_type,cylinder_number,turbo,ebd_(abs),traction_control,lane_change_blink,front_airbags,emergency_lightning,electronic_stability_control,blind_spot_monitoring,fatigue_detection,collision_mitigation_braking_system,forward_collision_warning,lane_departure,lane_keep_assist,adaptive_high_beam,cruise_control,adaptive_cruise_control,buckle_unlock_indicator_(passenger),buckle_unlock_indicator_(pilot),tpms,stop/start,gear_change_indicator,led_daytime_running_lights,led_backlight,hidraulic_steering,electric_steering,air_conditioning,automatic_air_conditioning,reverse_camera,auxiliary_parking_with_guides,rear_parking_sensors,front_and_rear_parking_sensors,parking_assistant,jam_assist,bluetooth_with_wireless_charging,hill_assist,downhill_assist,keyless_entry,start-stop_button,color_liquid_crystal_display_on_the_panel,entire_digital_and_configurable_cluster,audio_system_(as),display_audio_(da),android_auto,carplay_(apple),embedded_navigation_(nav),total_itens,prices
132,AUDI,I/AUDI TTS RD 2.0TFSI,COUPE/ROADSTER,MEDIUM,1450.0,2505.0,7.677912,2.27,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,24,397261.488
133,AUDI,I/AUDI TTS RD 2.0TFSI,COUPE/ROADSTER,MEDIUM,1450.0,2505.0,7.677912,2.27,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,26,362855.337
134,AUDI,I/AUDI TTS RD 2.0TFSI,COUPE/ROADSTER,MEDIUM,1450.0,2505.0,7.677912,2.27,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,26,377151.804
136,BMW,BMW/120I ACTIVE FLEX,HATCHBACK,MEDIUM,1450.0,2690.0,7.640685,2.04,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,17,198741.72
137,BMW,BMW/125I ACTIVE FLEX,HATCHBACK,MEDIUM,1440.0,2690.0,7.63186,2.24,FLEX,COMBUSTION,1,2.0,218.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,18,230809.505
138,BMW,I/BMW 118I,HATCHBACK,MEDIUM,1320.0,2670.0,7.769881,1.71,GASOLINE,COMBUSTION,1,1.5,140.0,DUAL CLUTCH,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,25,180198.5
139,BMW,I/BMW 118I UA31,HATCHBACK,MEDIUM,1320.0,2670.0,7.769881,1.71,GASOLINE,COMBUSTION,1,1.5,140.0,DUAL CLUTCH,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,25,185348.5
140,BMW,I/BMW 120I,HATCHBACK,MEDIUM,1455.0,2690.0,7.640685,2.05,GASOLINE,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,22,192096.92
141,BMW,I/BMW 125I,HATCHBACK,MEDIUM,1475.0,2690.0,7.640685,2.24,GASOLINE,COMBUSTION,1,2.0,224.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,22,211637.72000000003
142,BMW,I/BMW 220I CATACTIVEFLEX,MPV,MEDIUM,1505.0,2670.0,7.8156,1.92,FLEX,COMBUSTION,1,2.0,192.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,18,199939.32
143,BMW,I/BMW 220I CATACTIVEFLEX,MPV,MEDIUM,1505.0,2670.0,7.8156,1.92,FLEX,COMBUSTION,1,2.0,192.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,18,190795.235
144,BMW,I/BMW 220I CATACTIVEFLEX,MPV,MEDIUM,1505.0,2670.0,7.8156,1.92,FLEX,COMBUSTION,1,2.0,192.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,20,189695.24
145,BMW,I/BMW 225I CAT,MPV,MEDIUM,1505.0,2670.0,7.8156,2.19,GASOLINE,COMBUSTION,1,2.0,231.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,18,217349.84
146,BMW,BMW/320I,SEDAN,LARGE,1495.0,2810.0,8.390363,2.05,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,33,224619.27
147,BMW,BMW/320I,SEDAN,LARGE,1470.0,2851.0,8.603343,1.86,GASOLINE,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,33,263433.33
148,BMW,BMW/320I,SEDAN,LARGE,1470.0,2851.0,8.603343,1.86,GASOLINE,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,26,263173.38
